Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-06-15T08:37:32-0500,Trade,Sell to Close,SELL_TO_CLOSE,MMM   260710P00146000,Equity Option,Sold 1 MMM 07/10/26 Put 146.00 @ 0.52,52.00,1,52.00,0.00,-0.13,100,MMM,MMM,7/10/26,146.0,PUT,475898598,51.87,USD
2026-06-15T08:37:32-0500,Trade,Buy to Close,BUY_TO_CLOSE,MMM   260710P00150000,Equity Option,Bought 1 MMM 07/10/26 Put 150.00 @ 0.99,-99.00,1,-99.00,0.00,-0.12,100,MMM,MMM,7/10/26,150.0,PUT,475898598,-99.12,USD
2026-06-13T14:00:12-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.08,0,,--,0.00,,,,,,,,-0.08,USD
2026-06-12T08:54:59-0500,Trade,Sell to Close,SELL_TO_CLOSE,XOM   260618P00140000,Equity Option,Sold 1 XOM 06/18/26 Put 140.00 @ 0.37,37.00,1,37.00,0.00,-0.13,100,XOM,XOM,6/18/26,140.0,PUT,475490640,36.87,USD
2026-06-12T08:54:59-0500,Trade,Buy to Close,BUY_TO_CLOSE,XOM   260618P00143000,Equity Option,Bought 1 XOM 06/18/26 Put 143.00 @ 0.82,-82.00,1,-82.00,0.00,-0.12,100,XOM,XOM,6/18/26,143.0,PUT,475490640,-82.12,USD
2026-06-12T08:40:02-0500,Trade,Buy to Open,BUY_TO_OPEN,MMM   260710P00146000,Equity Option,Bought 1 MMM 07/10/26 Put 146.00 @ 0.74,-74.00,1,-74.00,-1.00,-0.12,100,MMM,MMM,7/10/26,146.0,PUT,475439345,-75.12,USD
2026-06-12T08:40:02-0500,Trade,Sell to Open,SELL_TO_OPEN,MMM   260710P00150000,Equity Option,Sold 1 MMM 07/10/26 Put 150.00 @ 1.53,153.00,1,153.00,-1.00,-0.13,100,MMM,MMM,7/10/26,150.0,PUT,475439345,151.87,USD
2026-06-12T08:33:54-0500,Trade,Buy to Close,BUY_TO_CLOSE,TGT   260724C00134000,Equity Option,Bought 1 TGT 07/24/26 Call 134.00 @ 6.60,-660.00,1,-660.00,0.00,-0.12,100,TGT,TGT,7/24/26,134.0,CALL,475439534,-660.12,USD
2026-06-12T08:33:54-0500,Trade,Sell to Close,SELL_TO_CLOSE,TGT   260724C00128000,Equity Option,Sold 1 TGT 07/24/26 Call 128.00 @ 10.30,"1,030.00",1,"1,030.00",0.00,-0.15,100,TGT,TGT,7/24/26,128.0,CALL,475439534,"1,029.85",USD
2026-06-12T08:30:31-0500,Trade,Sell to Close,SELL_TO_CLOSE,AXP   260717C00320000,Equity Option,Sold 1 AXP 07/17/26 Call 320.00 @ 12.43,"1,243.00",1,"1,243.00",0.00,-0.15,100,AXP,AXP,7/17/26,320.0,CALL,475439472,"1,242.85",USD
2026-06-12T08:30:31-0500,Trade,Buy to Close,BUY_TO_CLOSE,AXP   260717C00330000,Equity Option,Bought 1 AXP 07/17/26 Call 330.00 @ 8.03,-803.00,1,-803.00,0.00,-0.12,100,AXP,AXP,7/17/26,330.0,CALL,475439472,-803.12,USD
2026-06-11T08:40:33-0500,Trade,Sell to Open,SELL_TO_OPEN,AXP   260717C00330000,Equity Option,Sold 1 AXP 07/17/26 Call 330.00 @ 5.75,575.00,1,575.00,-1.00,-0.14,100,AXP,AXP,7/17/26,330.0,CALL,475047979,573.86,USD
2026-06-11T08:40:33-0500,Trade,Buy to Open,BUY_TO_OPEN,AXP   260717C00320000,Equity Option,Bought 1 AXP 07/17/26 Call 320.00 @ 9.40,-940.00,1,-940.00,-1.00,-0.12,100,AXP,AXP,7/17/26,320.0,CALL,475047979,-941.12,USD
2026-06-11T08:30:03-0500,Trade,Sell to Open,SELL_TO_OPEN,TGT   260724C00134000,Equity Option,Sold 1 TGT 07/24/26 Call 134.00 @ 4.20,420.00,1,420.00,-1.00,-0.13,100,TGT,TGT,7/24/26,134.0,CALL,475025131,418.87,USD
2026-06-11T08:30:03-0500,Trade,Buy to Open,BUY_TO_OPEN,TGT   260724C00128000,Equity Option,Bought 1 TGT 07/24/26 Call 128.00 @ 7.10,-710.00,1,-710.00,-1.00,-0.12,100,TGT,TGT,7/24/26,128.0,CALL,475025131,-711.12,USD
2026-06-10T13:05:12-0500,Trade,Buy to Open,BUY_TO_OPEN,MCD   260717P00265000,Equity Option,Bought 1 MCD 07/17/26 Put 265.00 @ 1.59,-159.00,1,-159.00,-1.00,-0.12,100,MCD,MCD,7/17/26,265.0,PUT,474901194,-160.12,USD
2026-06-10T13:05:12-0500,Trade,Sell to Open,SELL_TO_OPEN,MCD   260717P00270000,Equity Option,Sold 1 MCD 07/17/26 Put 270.00 @ 2.40,240.00,1,240.00,-1.00,-0.13,100,MCD,MCD,7/17/26,270.0,PUT,474901194,238.87,USD
2026-06-10T08:48:10-0500,Trade,Buy to Close,BUY_TO_CLOSE,AMD   260724P00425000,Equity Option,Bought 1 AMD 07/24/26 Put 425.00 @ 25.17,"-2,517.00",1,"-2,517.00",0.00,-0.12,100,AMD,AMD,7/24/26,425.0,PUT,474658746,"-2,517.12",USD
2026-06-10T08:48:10-0500,Trade,Sell to Close,SELL_TO_CLOSE,AMD   260724P00420000,Equity Option,Sold 1 AMD 07/24/26 Put 420.00 @ 23.42,"2,342.00",1,"2,342.00",0.00,-0.17,100,AMD,AMD,7/24/26,420.0,PUT,474658746,"2,341.83",USD
2026-06-10T08:30:05-0500,Trade,Buy to Open,BUY_TO_OPEN,UNP   260717P00245000,Equity Option,Bought 1 UNP 07/17/26 Put 245.00 @ 2.09,-209.00,1,-209.00,-1.00,-0.12,100,UNP,UNP,7/17/26,245.0,PUT,474625608,-210.12,USD
2026-06-10T08:30:05-0500,Trade,Sell to Open,SELL_TO_OPEN,UNP   260717P00250000,Equity Option,Sold 1 UNP 07/17/26 Put 250.00 @ 2.71,271.00,1,271.00,-1.00,-0.13,100,UNP,UNP,7/17/26,250.0,PUT,474625608,269.87,USD
2026-06-09T13:52:11-0500,Trade,Buy to Close,BUY_TO_CLOSE,TGT   260626P00123000,Equity Option,Bought 1 TGT 06/26/26 Put 123.00 @ 2.27,-227.00,1,-227.00,0.00,-0.12,100,TGT,TGT,6/26/26,123.0,PUT,474497336,-227.12,USD
2026-06-09T13:52:11-0500,Trade,Sell to Close,SELL_TO_CLOSE,TGT   260626P00120000,Equity Option,Sold 1 TGT 06/26/26 Put 120.00 @ 1.39,139.00,1,139.00,0.00,-0.13,100,TGT,TGT,6/26/26,120.0,PUT,474497336,138.87,USD
2026-06-09T12:35:12-0500,Trade,Sell to Close,SELL_TO_CLOSE,RTX   260626C00180000,Equity Option,Sold 1 RTX 06/26/26 Call 180.00 @ 5.05,505.00,1,505.00,0.00,-0.14,100,RTX,RTX,6/26/26,180.0,CALL,474483514,504.86,USD
2026-06-09T10:58:32-0500,Trade,Buy to Open,BUY_TO_OPEN,AMD   260724P00420000,Equity Option,Bought 1 AMD 07/24/26 Put 420.00 @ 25.10,"-2,510.00",1,"-2,510.00",-1.00,-0.12,100,AMD,AMD,7/24/26,420.0,PUT,474156374,"-2,511.12",USD
2026-06-09T10:58:32-0500,Trade,Sell to Open,SELL_TO_OPEN,AMD   260724P00425000,Equity Option,Sold 1 AMD 07/24/26 Put 425.00 @ 27.10,"2,710.00",1,"2,710.00",-1.00,-0.18,100,AMD,AMD,7/24/26,425.0,PUT,474156374,"2,708.82",USD
2026-06-06T13:40:51-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.01,0,,--,0.00,,,,,,,,-0.01,USD
2026-06-05T08:30:03-0500,Trade,Buy to Open,BUY_TO_OPEN,RTX   260626C00180000,Equity Option,Bought 1 RTX 06/26/26 Call 180.00 @ 4.75,-475.00,1,-475.00,-1.00,-0.12,100,RTX,RTX,6/26/26,180.0,CALL,473268593,-476.12,USD
2026-06-04T09:36:55-0500,Trade,Sell to Open,SELL_TO_OPEN,TGT   260626P00123000,Equity Option,Sold 1 TGT 06/26/26 Put 123.00 @ 3.08,308.00,1,308.00,-1.00,-0.13,100,TGT,TGT,6/26/26,123.0,PUT,472937591,306.87,USD
2026-06-04T09:36:55-0500,Trade,Buy to Open,BUY_TO_OPEN,TGT   260626P00120000,Equity Option,Bought 1 TGT 06/26/26 Put 120.00 @ 1.98,-198.00,1,-198.00,-1.00,-0.12,100,TGT,TGT,6/26/26,120.0,PUT,472937591,-199.12,USD
2026-05-30T13:55:03-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.01,0,,--,0.00,,,,,,,,-0.01,USD
2026-05-29T10:20:10-0500,Trade,Sell to Close,SELL_TO_CLOSE,HD    260618P00282500,Equity Option,Sold 2 HD 06/18/26 Put 282.50 @ 0.84,168.00,2,84.00,0.00,-0.27,100,HD,HD,6/18/26,282.5,PUT,470661752,167.73,USD
2026-05-29T10:20:10-0500,Trade,Buy to Close,BUY_TO_CLOSE,HD    260618P00285000,Equity Option,Bought 2 HD 06/18/26 Put 285.00 @ 0.99,-198.00,2,-99.00,0.00,-0.25,100,HD,HD,6/18/26,285.0,PUT,470661752,-198.25,USD
2026-05-29T10:15:42-0500,Trade,Sell to Close,SELL_TO_CLOSE,BA    260605P00210000,Equity Option,Sold 1 BA 06/05/26 Put 210.00 @ 0.25,25.00,1,25.00,0.00,-0.13,100,BA,BA,6/05/26,210.0,PUT,466346821,24.87,USD
2026-05-29T10:15:42-0500,Trade,Buy to Close,BUY_TO_CLOSE,BA    260605P00215000,Equity Option,Bought 1 BA 06/05/26 Put 215.00 @ 0.45,-45.00,1,-45.00,0.00,-0.12,100,BA,BA,6/05/26,215.0,PUT,466346821,-45.12,USD
2026-05-23T14:47:58-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.03,0,,--,0.00,,,,,,,,-0.03,USD
2026-05-22T12:29:39-0500,Trade,Buy to Open,BUY_TO_OPEN,XOM   260618P00140000,Equity Option,Bought 1 XOM 06/18/26 Put 140.00 @ 0.86,-86.00,1,-86.00,-1.00,-0.12,100,XOM,XOM,6/18/26,140.0,PUT,469800603,-87.12,USD
2026-05-22T12:29:39-0500,Trade,Sell to Open,SELL_TO_OPEN,XOM   260618P00143000,Equity Option,Sold 1 XOM 06/18/26 Put 143.00 @ 1.31,131.00,1,131.00,-1.00,-0.13,100,XOM,XOM,6/18/26,143.0,PUT,469800603,129.87,USD
2026-05-22T08:30:13-0500,Trade,Buy to Open,BUY_TO_OPEN,HD    260618P00282500,Equity Option,Bought 2 HD 06/18/26 Put 282.50 @ 1.63,-326.00,2,-163.00,-2.00,-0.25,100,HD,HD,6/18/26,282.5,PUT,469800664,-328.25,USD
2026-05-22T08:30:13-0500,Trade,Sell to Open,SELL_TO_OPEN,HD    260618P00285000,Equity Option,Sold 2 HD 06/18/26 Put 285.00 @ 1.93,386.00,2,193.00,-2.00,-0.27,100,HD,HD,6/18/26,285.0,PUT,469800664,383.73,USD
2026-05-21T13:19:30-0500,Trade,Sell to Close,SELL_TO_CLOSE,NKE   260605P00039000,Equity Option,Sold 1 NKE 06/05/26 Put 39.00 @ 0.10,10.00,1,10.00,0.00,-0.13,100,NKE,NKE,6/05/26,39.0,PUT,463116016,9.87,USD
2026-05-21T13:19:30-0500,Trade,Buy to Close,BUY_TO_CLOSE,NKE   260605P00041000,Equity Option,Bought 1 NKE 06/05/26 Put 41.00 @ 0.29,-29.00,1,-29.00,0.00,-0.12,100,NKE,NKE,6/05/26,41.0,PUT,463116016,-29.12,USD
2026-05-21T13:19:30-0500,Trade,Sell to Close,SELL_TO_CLOSE,NKE   260605P00039000,Equity Option,Sold 1 NKE 06/05/26 Put 39.00 @ 0.10,10.00,1,10.00,0.00,-0.13,100,NKE,NKE,6/05/26,39.0,PUT,463116016,9.87,USD
2026-05-21T13:19:30-0500,Trade,Buy to Close,BUY_TO_CLOSE,NKE   260605P00041000,Equity Option,Bought 1 NKE 06/05/26 Put 41.00 @ 0.29,-29.00,1,-29.00,0.00,-0.12,100,NKE,NKE,6/05/26,41.0,PUT,463116016,-29.12,USD
2026-05-20T14:35:00-0500,Trade,Buy to Close,BUY_TO_CLOSE,GE    260605P00265000,Equity Option,Bought 1 GE 06/05/26 Put 265.00 @ 1.14,-114.00,1,-114.00,0.00,-0.12,100,GE,GE,6/05/26,265.0,PUT,466346878,-114.12,USD
2026-05-20T14:35:00-0500,Trade,Sell to Close,SELL_TO_CLOSE,GE    260605P00260000,Equity Option,Sold 1 GE 06/05/26 Put 260.00 @ 0.84,84.00,1,84.00,0.00,-0.13,100,GE,GE,6/05/26,260.0,PUT,466346878,83.87,USD
2026-05-19T08:30:31-0500,Trade,Sell to Close,SELL_TO_CLOSE,MSFT  260612P00385000,Equity Option,Sold 1 MSFT 06/12/26 Put 385.00 @ 1.40,140.00,1,140.00,0.00,-0.13,100,MSFT,MSFT,6/12/26,385.0,PUT,466347031,139.87,USD
2026-05-19T08:30:31-0500,Trade,Buy to Close,BUY_TO_CLOSE,MSFT  260612P00390000,Equity Option,Bought 1 MSFT 06/12/26 Put 390.00 @ 1.83,-183.00,1,-183.00,0.00,-0.12,100,MSFT,MSFT,6/12/26,390.0,PUT,466347031,-183.12,USD
2026-05-18T08:44:31-0500,Trade,Sell to Close,SELL_TO_CLOSE,SLB   260529P00049000,Equity Option,Sold 2 SLB 05/29/26 Put 49.00 @ 0.09,18.00,2,9.00,0.00,-0.27,100,SLB,SLB,5/29/26,49.0,PUT,463115885,17.73,USD
2026-05-18T08:44:31-0500,Trade,Buy to Close,BUY_TO_CLOSE,SLB   260529P00051000,Equity Option,Bought 2 SLB 05/29/26 Put 51.00 @ 0.21,-42.00,2,-21.00,0.00,-0.25,100,SLB,SLB,5/29/26,51.0,PUT,463115885,-42.25,USD
2026-05-16T12:54:05-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,,,-0.02,USD
2026-05-14T08:31:32-0500,Trade,Sell to Close,SELL_TO_CLOSE,ABBV  260529P00185000,Equity Option,Sold 1 ABBV 05/29/26 Put 185.00 @ 0.61,61.00,1,61.00,0.00,-0.13,100,ABBV,ABBV,5/29/26,185.0,PUT,466346916,60.87,USD
2026-05-14T08:31:32-0500,Trade,Buy to Close,BUY_TO_CLOSE,ABBV  260529P00190000,Equity Option,Bought 1 ABBV 05/29/26 Put 190.00 @ 0.81,-81.00,1,-81.00,0.00,-0.12,100,ABBV,ABBV,5/29/26,190.0,PUT,466346916,-81.12,USD
2026-05-12T08:50:51-0500,Trade,Sell to Open,SELL_TO_OPEN,GE    260605P00265000,Equity Option,Sold 1 GE 06/05/26 Put 265.00 @ 2.08,208.00,1,208.00,-1.00,-0.13,100,GE,GE,6/05/26,265.0,PUT,465828172,206.87,USD
2026-05-12T08:50:51-0500,Trade,Buy to Open,BUY_TO_OPEN,GE    260605P00260000,Equity Option,Bought 1 GE 06/05/26 Put 260.00 @ 1.48,-148.00,1,-148.00,-1.00,-0.12,100,GE,GE,6/05/26,260.0,PUT,465828172,-149.12,USD
2026-05-12T08:32:00-0500,Trade,Buy to Open,BUY_TO_OPEN,BA    260605P00210000,Equity Option,Bought 1 BA 06/05/26 Put 210.00 @ 1.14,-114.00,1,-114.00,-1.00,-0.12,100,BA,BA,6/05/26,210.0,PUT,465837610,-115.12,USD
2026-05-12T08:32:00-0500,Trade,Sell to Open,SELL_TO_OPEN,BA    260605P00215000,Equity Option,Sold 1 BA 06/05/26 Put 215.00 @ 1.70,170.00,1,170.00,-1.00,-0.13,100,BA,BA,6/05/26,215.0,PUT,465837610,168.87,USD
2026-05-09T11:52:52-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.04,0,,--,0.00,,,,,,,,-0.04,USD
2026-05-08T08:30:22-0500,Trade,Buy to Open,BUY_TO_OPEN,ABBV  260529P00185000,Equity Option,Bought 1 ABBV 05/29/26 Put 185.00 @ 0.62,-62.00,1,-62.00,-1.00,-0.12,100,ABBV,ABBV,5/29/26,185.0,PUT,464735925,-63.12,USD
2026-05-08T08:30:22-0500,Trade,Sell to Open,SELL_TO_OPEN,ABBV  260529P00190000,Equity Option,Sold 1 ABBV 05/29/26 Put 190.00 @ 1.13,113.00,1,113.00,-1.00,-0.13,100,ABBV,ABBV,5/29/26,190.0,PUT,464735925,111.87,USD
2026-05-08T08:30:00-0500,Trade,Buy to Open,BUY_TO_OPEN,MSFT  260612P00385000,Equity Option,Bought 1 MSFT 06/12/26 Put 385.00 @ 3.65,-365.00,1,-365.00,-1.00,-0.12,100,MSFT,MSFT,6/12/26,385.0,PUT,464731555,-366.12,USD
2026-05-08T08:30:00-0500,Trade,Sell to Open,SELL_TO_OPEN,MSFT  260612P00390000,Equity Option,Sold 1 MSFT 06/12/26 Put 390.00 @ 4.50,450.00,1,450.00,-1.00,-0.13,100,MSFT,MSFT,6/12/26,390.0,PUT,464731555,448.87,USD
2026-05-06T09:47:09-0500,Trade,Sell to Close,SELL_TO_CLOSE,DE    260515P00540000,Equity Option,Sold 1 DE 05/15/26 Put 540.00 @ 1.40,140.00,1,140.00,0.00,-0.13,100,DE,DE,5/15/26,540.0,PUT,463116118,139.87,USD
2026-05-06T09:47:09-0500,Trade,Buy to Close,BUY_TO_CLOSE,DE    260515P00545000,Equity Option,Bought 1 DE 05/15/26 Put 545.00 @ 1.75,-175.00,1,-175.00,0.00,-0.12,100,DE,DE,5/15/26,545.0,PUT,463116118,-175.12,USD
2026-05-04T12:17:26-0500,Trade,Buy to Open,BUY_TO_OPEN,SLB   260529P00049000,Equity Option,Bought 2 SLB 05/29/26 Put 49.00 @ 0.32,-64.00,2,-32.00,-2.00,-0.25,100,SLB,SLB,5/29/26,49.0,PUT,462601450,-66.25,USD
2026-05-04T12:17:26-0500,Trade,Sell to Open,SELL_TO_OPEN,SLB   260529P00051000,Equity Option,Sold 2 SLB 05/29/26 Put 51.00 @ 0.56,112.00,2,56.00,-2.00,-0.27,100,SLB,SLB,5/29/26,51.0,PUT,462601450,109.73,USD
2026-05-04T08:33:39-0500,Trade,Sell to Close,SELL_TO_CLOSE,TGT   260515P00105000,Equity Option,Sold 1 TGT 05/15/26 Put 105.00 @ 0.09,9.00,1,9.00,0.00,-0.13,100,TGT,TGT,5/15/26,105.0,PUT,462601901,8.87,USD
2026-05-04T08:33:39-0500,Trade,Sell to Close,SELL_TO_CLOSE,TGT   260515C00140000,Equity Option,Sold 1 TGT 05/15/26 Call 140.00 @ 0.14,14.00,1,14.00,0.00,-0.13,100,TGT,TGT,5/15/26,140.0,CALL,462601901,13.87,USD
2026-05-04T08:33:39-0500,Trade,Buy to Close,BUY_TO_CLOSE,TGT   260515P00110000,Equity Option,Bought 1 TGT 05/15/26 Put 110.00 @ 0.14,-14.00,1,-14.00,0.00,-0.12,100,TGT,TGT,5/15/26,110.0,PUT,462601901,-14.12,USD
